Cluster Index	Z	x	y	z	
19	7.71	52	-70	-2
19	6.2	42	-84	-14
19	6.1	44	-86	-18
19	5.67	44	-52	-24
19	5.65	44	-80	-20
19	5.5	38	-92	-6
18	6.6	34	-58	66
18	6.58	30	-58	68
18	5.67	52	-44	26
18	5.67	32	-48	44
18	5.36	22	-64	42
18	5.15	58	-50	14
17	7.4	-50	-76	-12
17	7.06	-34	-98	2
17	6.38	-48	-74	6
17	6.33	-42	-78	-12
17	5.81	-36	-88	-22
17	5.71	-24	-96	0
16	5.66	-50	-40	50
16	5.65	-30	-64	54
16	5.61	-32	-54	40
16	5.59	-18	-70	56
16	5.5	-38	-62	50
16	5.4	-26	-54	44
15	6.68	48	12	30
15	5.23	46	6	24
15	5.03	38	10	22
15	4.67	48	16	38
15	4.34	62	14	14
15	3.77	62	12	20
14	5.09	6	4	56
14	4.75	0	-8	52
14	4.69	0	14	42
14	4.64	0	-4	50
14	4.58	2	14	46
14	4.57	0	10	44
13	5.12	-40	-16	68
13	4.98	-16	-20	78
13	4.86	-30	-24	70
13	4.86	-30	-22	74
13	4.76	-50	-18	60
13	4.17	-36	-12	46
12	6.27	-20	-66	30
12	5.2	-36	-86	14
12	4.45	-24	-74	24
12	4.25	-24	-76	30
12	4.18	-18	-78	40
12	4.12	-26	-88	12
11	4.36	34	-14	72
11	4.23	28	-10	50
11	4.15	32	-6	48
11	4.06	38	-2	48
11	3.99	42	-6	62
11	3.44	26	-2	56
10	4.07	56	10	2
10	4.05	46	16	4
10	3.89	32	20	-2
10	3.88	32	16	-4
10	3.87	42	18	-6
10	3.76	36	16	4
9	5.65	-62	-22	28
9	3.89	-54	-24	24
8	5.23	12	-8	80
8	4.2	4	-36	78
8	4.02	4	-22	82
8	3.75	2	-20	78
8	3.65	2	-14	78
7	5.26	4	-38	26
6	5.01	-52	8	38
6	4.21	-50	0	42
6	3.82	-48	0	32
6	3.46	-46	-2	28
6	3.38	-44	4	34
5	4.64	22	-72	-52
5	3.91	28	-64	-56
5	3.85	28	-68	-44
5	3.47	32	-60	-58
4	4.64	38	-82	18
4	3.75	44	-78	26
4	3.72	38	-82	10
3	5.02	-18	4	24
3	4.19	-26	16	18
3	3.28	-14	12	24
2	4.33	26	54	-12
2	4.06	22	58	-8
2	4.05	22	60	-14
1	5.19	48	-26	-6
