Cluster Index	Z	x	y	z	
20	8.88	-38	-80	-18
20	8.42	-32	-96	-6
20	7.25	-36	-94	10
20	7.25	-36	-66	-24
20	6.85	-18	-92	-10
20	6.79	-38	-94	4
19	9.27	42	-84	-2
19	8.62	44	-70	-4
19	8.26	40	-60	-24
19	7.92	50	-74	-6
19	7.27	34	-60	-24
19	7.23	34	-80	-20
18	7.78	30	-78	46
18	5.91	38	-60	54
18	5.86	42	-54	60
18	5.63	30	-70	36
18	5.59	22	-60	52
18	5.55	30	-78	26
17	6.46	2	6	56
17	6.38	0	-4	56
17	6.31	0	4	32
17	5.61	2	8	50
17	5.57	-6	-24	44
17	5.5	2	-8	32
16	9.61	-34	-8	66
16	7.99	-38	-24	68
16	7.94	-30	-20	72
16	7.67	-56	-24	48
16	6.51	-52	-26	58
16	5.36	-20	-14	76
15	8.27	-28	-60	66
15	7.71	-30	-60	60
15	6.44	-44	-50	60
15	5.27	-38	-44	52
15	4.83	-26	-70	60
15	4.82	-12	-62	66
14	6.53	22	-8	68
14	6.19	44	2	56
14	5.63	32	0	66
14	5.62	40	12	30
14	4.71	54	20	42
14	4.59	48	12	32
13	5.09	18	-66	-58
13	4.99	14	-62	-60
13	4.98	8	-70	-52
13	4.82	-10	-66	-54
13	4.61	-12	-70	-46
13	4.57	-8	-70	-52
12	7.05	-54	-18	14
12	6.42	-62	-16	12
12	4.78	-66	-18	24
12	3.59	-56	-14	22
12	3.41	-48	-24	12
11	5.48	4	-42	54
11	4.77	10	-34	50
11	4.25	2	-54	64
11	3.2	14	-44	60
10	6.34	50	20	-10
9	6.06	-56	-66	6
9	4.87	-54	-60	8
9	4.26	-60	-60	-2
9	3.82	-62	-58	2
8	6.42	10	-18	6
7	4.87	-58	-48	8
7	4.3	-60	-34	10
7	4.12	-64	-40	18
7	4.11	-64	-36	16
6	5.05	16	8	-16
6	4.97	18	10	-8
5	4.23	42	44	28
5	3.98	44	44	20
5	3.57	38	44	34
5	3.38	40	36	18
5	3.34	38	34	14
5	3.3	48	46	14
4	4.36	-36	-12	-4
4	4.34	-40	-12	-8
4	4.32	-34	-4	-4
4	3.7	-32	-26	-2
4	3.44	-36	-18	-6
4	3.23	-32	-20	0
3	4.35	66	-32	20
3	3.77	64	-38	28
3	3.54	56	-30	30
3	3.38	64	-28	28
3	3.25	64	-34	36
2	5.63	-58	8	6
1	4.33	48	52	6
1	4.16	46	54	0
