Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	1267	2.25e-18	17.6	6.15	44	-74	-14	34.8	-75.9	-14.7	613	40	-68	-18	269
9	1161	2.77e-17	16.6	6.48	-24	-90	-30	-38.7	-74.4	-18.4	879	-42	-60	-26	264
8	824	1.44e-13	12.8	6.88	-58	-24	48	-51.9	-32.6	48.2	665	-44	-48	62	265
7	671	1.02e-11	11	7.07	-58	6	12	-50.9	0.898	16.8	543	-58	6	12	242
6	233	2.47e-05	4.61	5.59	-30	-52	48	-31.4	-55	48.7	368	-30	-56	50	245
5	221	4.07e-05	4.39	5.61	-6	-10	54	-1.11	-5.91	54.7	444	-2	-6	56	293
4	205	8e-05	4.1	5.97	-32	-90	12	-31.6	-87.5	14.4	407	-32	-92	14	243
3	162	0.000543	3.27	5.41	-32	-8	66	-31.1	-6.13	65.7	502	-32	-6	66	269
2	150	0.000953	3.02	4.8	32	-60	60	31.5	-57.6	59	475	32	-62	60	260
1	134	0.00207	2.68	5.19	30	-70	24	27	-77.3	25.1	289	18	-88	32	225
