Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
21	3933	4.07e-40	39.4	6.7	46	-82	-14	17.8	-71.8	-8.67	737	38	-52	-22	235
20	1776	3.05e-23	22.5	7.55	-42	-34	64	-40.1	-29.8	59	981	-34	-40	66	280
19	1049	4.28e-16	15.4	6.01	10	-70	58	19.1	-63.3	54.2	981	10	-70	58	315
18	386	5.96e-08	7.22	6.13	-32	-50	-22	-32.9	-54.4	-19.8	503	-36	-56	-20	235
17	293	2.32e-06	5.63	4.85	10	-96	-10	3.87	-96.5	0.166	519	0	-100	8	252
16	264	7.09e-06	5.15	4.88	40	-28	38	44.7	-29.5	38.6	317	50	-30	44	196
15	207	7.35e-05	4.13	5.65	-68	-48	12	-58.4	-43.2	22	335	-68	-48	12	206
14	193	0.000135	3.87	6.17	-28	-74	26	-27.7	-78.9	29.1	426	-28	-76	26	240
13	183	0.000209	3.68	5.67	50	-28	-6	53.2	-28.1	-1.37	432	54	-26	-2	223
12	180	0.000239	3.62	5.2	30	-46	-52	34	-52.6	-51.9	306	32	-46	-52	182
11	173	0.000328	3.48	4.83	16	46	-20	14.8	43.3	-18.3	370	18	44	-24	186
10	157	0.000685	3.16	5.26	-54	-6	10	-54.2	5.42	0.0659	588	-58	0	4	286
9	143	0.00133	2.88	5.67	40	20	-20	41.8	26.8	-18.9	542	40	20	-20	261
8	120	0.00418	2.38	4.67	20	24	-18	17.3	22.4	-17.5	345	20	24	-18	198
7	104	0.00964	2.02	4.96	10	4	64	5.23	11.6	67	389	6	4	74	243
6	104	0.00964	2.02	5.89	-22	-72	58	-27.5	-66.4	55.5	510	-22	-72	58	294
5	103	0.0102	1.99	5.38	-42	-44	-50	-41.6	-46.4	-48.3	306	-42	-44	-42	205
4	91	0.0196	1.71	4.73	8	-4	12	9.28	-4.89	11.9	494	2	-6	12	267
3	85	0.0274	1.56	4.98	34	-70	32	31	-74.3	34	298	30	-80	38	216
2	82	0.0326	1.49	4.87	-16	-78	50	-12.4	-77.1	52.4	649	-6	-76	56	355
1	75	0.0488	1.31	4.16	4	16	42	0.0845	12	43.4	485	0	16	42	289
