Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
18	1463	2.58e-20	19.6	7.94	-28	-22	74	-28.6	-19.8	62.6	932	-36	-26	70	307
17	1255	2.97e-18	17.5	7.65	46	-72	-4	36.6	-62.4	-16.3	506	28	-78	-16	235
16	735	1.66e-12	11.8	7.37	-52	-76	-4	-41.3	-81.8	-5.78	561	-52	-76	-4	243
15	311	1.19e-06	5.92	7.85	-50	-46	0	-52.7	-48	5.6	470	-50	-46	0	227
14	251	1.19e-05	4.92	5.44	-26	-62	58	-24.9	-60.4	55.4	659	-26	-64	58	294
13	228	3.04e-05	4.52	5.05	32	-70	44	33.8	-70.7	36.2	544	32	-76	46	253
12	222	3.9e-05	4.41	5.34	50	8	28	56.1	3.9	24.9	531	60	-4	26	264
11	214	5.46e-05	4.26	4.29	-6	12	34	-0.924	11.8	35.3	339	2	16	36	233
10	206	7.67e-05	4.12	5.51	6	-20	24	4.09	-22.7	24.2	405	6	-20	24	235
9	205	8e-05	4.1	6.13	30	-52	48	32.1	-54.2	48.3	516	38	-60	60	241
8	139	0.00162	2.79	4.97	-8	-18	8	-13.2	-19.2	4.83	313	-8	-18	8	198
7	136	0.00187	2.73	4.94	-28	-72	22	-25.1	-69.9	31.8	312	-22	-70	40	217
6	123	0.00359	2.45	4.93	-58	-10	18	-57.6	-11.6	20.5	410	-58	-10	18	225
5	104	0.00964	2.02	5.23	-50	-4	2	-51.5	-1.44	-1.15	375	-50	-2	-4	261
4	103	0.0102	1.99	5.63	46	-56	6	48.9	-54.6	7.01	339	50	-54	8	224
3	96	0.0149	1.83	4.17	-20	4	2	-21.4	6.47	-3.3	206	-22	2	-16	172
2	87	0.0245	1.61	5.95	-56	-44	24	-55	-42.3	24.3	464	-56	-44	24	256
1	86	0.0259	1.59	4.99	22	-58	-52	18.1	-58.4	-53.2	263	22	-58	-52	191
