Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	3811	2.9e-39	38.5	8.46	40	-60	42	32.4	-73.9	5.32	899	46	-64	42	265
9	2802	8.09e-32	31.1	11	-38	-74	-16	-34	-84.9	-4.89	943	-40	-74	-16	290
8	904	1.72e-14	13.8	9.67	-32	-62	50	-41.6	-48.5	46.9	903	-36	-66	52	290
7	418	2.65e-08	7.58	6.3	58	14	42	56.4	10.5	30.4	496	56	12	42	261
6	240	1.86e-05	4.73	6.32	-28	-10	70	-25.2	-8.13	71.3	824	-30	-10	70	375
5	200	9.93e-05	4	6.07	44	-2	62	35.1	-2.23	66	732	34	-6	68	365
4	151	0.000909	3.04	5.13	52	20	-10	45.9	17.8	-7.02	395	56	16	-10	236
3	149	0.001	3	6.03	-58	0	40	-56.2	-1.64	37.9	608	-58	0	40	265
2	120	0.00418	2.38	5.72	-50	-24	14	-48.1	-25	15	385	-52	-22	12	251
1	103	0.0102	1.99	4.18	52	-42	50	52.6	-40.4	54.4	558	48	-40	62	290
