Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
12	1814	1.38e-23	22.9	7.81	-38	-30	50	-42	-34.5	43.6	685	-48	-42	54	265
11	1325	5.86e-19	18.2	6.53	44	-38	46	38.8	-51.1	35.9	502	40	-74	18	240
10	951	5.09e-15	14.3	8.51	-40	-84	-4	-41.9	-73.8	-8.78	574	-40	-86	-2	244
9	898	2.01e-14	13.7	7.24	42	-62	-6	44.5	-61.5	-16.8	485	50	-68	-24	243
8	235	2.28e-05	4.64	5.68	-58	2	34	-55.3	1.17	32.8	482	-58	4	34	288
7	233	2.47e-05	4.61	7	-30	-80	16	-28.1	-78.2	19.8	533	-30	-80	16	251
6	185	0.000191	3.72	4.89	34	18	-10	33.3	20.6	-2.94	305	34	26	-2	210
5	184	0.0002	3.7	5.56	-6	-18	54	-4.19	-16.5	58.3	372	0	-14	68	231
4	123	0.00359	2.45	4.53	-10	-72	46	-14.6	-70.3	46.3	418	-12	-74	46	263
3	116	0.00513	2.29	5.81	-30	-10	50	-30.6	-10.9	53.1	313	-30	-10	50	207
2	93	0.0175	1.76	5.44	-40	-10	64	-41.9	-11.6	63.5	600	-36	-20	68	326
1	90	0.0207	1.68	4	-8	4	46	-3.55	2.01	47.1	285	0	-4	44	219
