Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
19	3525	3.15e-37	36.5	6.99	46	-62	-6	40	-69.5	7.27	513	62	-44	8	222
18	2565	6.03e-30	29.2	6.95	-28	-10	46	-31.1	-38.7	49.4	553	-32	-16	70	220
17	1628	7e-22	21.2	6.59	-48	-72	-2	-38.8	-73.9	-7.1	430	-48	-74	-2	212
16	1436	4.72e-20	19.3	6.62	2	16	60	7.37	10.8	48.1	422	-2	24	34	214
15	797	2.99e-13	12.5	6.34	32	20	-10	37.6	17.7	-4.06	519	50	16	-8	245
14	729	1.96e-12	11.7	6.58	46	8	32	44.5	6.82	27.2	456	50	14	36	246
13	540	5.13e-10	9.29	5.51	-10	-18	4	-10.1	-12.4	0.307	353	-10	-18	4	200
12	475	4.03e-09	8.39	5.92	10	-18	6	9.07	-12.2	3.77	453	2	-14	8	218
11	410	5.96e-08	7.22	5.93	-48	2	32	-49.8	2.89	31.6	413	-48	2	32	205
10	250	1.24e-05	4.91	4.71	-4	-80	-34	0.584	-76.4	-25.7	221	0	-82	-20	149
9	245	1.52e-05	4.82	6.53	48	-34	52	47.2	-36.2	48.9	378	48	-34	58	212
8	210	6.47e-05	4.19	4.54	26	68	-8	18.3	69	-2.26	728	26	68	-4	433
7	201	9.51e-05	4.02	4.57	6	-40	20	1.44	-34.9	22.4	355	0	-34	22	242
6	152	0.000867	3.06	5.53	-30	12	10	-31.4	14.8	6.8	310	-30	18	8	200
5	151	0.000909	3.04	4.41	-60	-32	48	-59.4	-27	39.5	295	-56	-32	52	195
4	137	0.00179	2.75	4.5	30	50	18	27.7	46.4	17.1	279	30	50	18	192
3	81	0.0345	1.46	4.05	-4	-22	54	-5.84	-22	56.8	230	-4	-22	54	180
2	79	0.0387	1.41	3.97	16	16	-12	14.2	14.6	-9.4	237	14	10	-14	175
1	75	0.0488	1.31	4.26	20	-70	56	19.3	-67.7	54.8	275	20	-70	56	206
