Cluster Index	Z	x	y	z	
15	9.77	-24	-60	56
15	8.97	-36	-22	64
15	8.8	-44	-22	66
15	8.75	-22	-54	44
15	8.63	-36	-32	38
15	8.09	-38	-24	60
14	7.99	-36	-80	-8
14	7.95	-32	-74	-10
14	6.98	-32	-94	-2
14	6.95	-28	-92	-14
14	6.94	-40	-52	-22
14	6.91	-42	-50	-18
13	8.16	44	-70	-16
13	8.15	50	-70	-10
13	7.98	28	-58	-24
13	7.78	44	-78	-18
13	7.71	32	-90	-4
13	7.66	46	-72	-20
12	7.04	6	28	30
12	6.81	-2	4	48
12	6.79	-4	-4	46
12	6.66	-4	4	44
12	6.62	36	-2	60
12	6.2	0	-8	62
11	6.1	10	2	4
11	5.56	-6	-10	12
11	5.01	10	-4	10
11	4.85	-10	-4	10
11	4.83	14	10	-4
11	4.79	-12	-16	4
10	6.4	-52	14	-4
10	5.92	-30	14	10
10	5.2	-36	-4	0
10	4.9	-42	0	-2
10	4.86	-34	-8	12
10	4.67	-40	12	0
9	5.46	50	16	-4
9	5.01	30	16	-10
9	4.85	52	16	-14
9	4.48	32	22	-4
9	4.33	44	10	-2
9	4.22	34	12	6
8	6.24	-56	4	22
8	5.56	-56	0	30
8	5.33	-54	-2	24
8	4.7	-62	4	8
8	4.56	-46	0	28
8	4.53	-48	2	32
7	6.47	-46	-50	2
7	6.26	-52	-48	22
7	5.32	-46	-52	8
7	4.79	-52	-58	10
7	3.92	-54	-44	2
6	6.3	44	6	22
6	5.4	50	6	32
6	5.39	54	2	4
6	5.36	52	4	8
6	4.33	56	6	18
5	4.35	42	44	8
5	4.14	38	50	10
5	4.02	36	44	28
5	3.86	44	42	18
5	3.67	40	44	16
5	3.51	30	44	32
4	5.05	-44	32	24
4	5.01	-48	32	22
3	5.48	-30	44	26
2	4.26	-26	60	16
2	4.09	-22	48	16
2	3.93	-24	64	12
2	3.7	-28	60	22
1	4.53	-26	-68	-58
1	4.23	-32	-72	-56
1	4.21	-16	-64	-60
1	3.93	-16	-70	-58
1	3.63	-24	-58	-54
